date,station,PM10,PM2.5,SO2,NOx,AQI,year,month,weekday,is_weekend,season,AQI_category
2020-01-03,Clock Tower,168.5,95.15,24.38,28.73,217.0,2020,1,Friday,False,Winter,Poor
2020-01-04,Raipur Road,127.27,,23.49,27.74,118.0,2020,1,Saturday,True,Winter,Moderate
2020-01-06,Himalayan Drug (ISBT),168.9,105.28,24.39,28.8,251.0,2020,1,Monday,False,Winter,Poor
2020-01-09,Clock Tower,149.6,90.34,24.05,27.8,201.0,2020,1,Thursday,False,Winter,Poor
2020-01-10,Raipur Road,130.29,73.44,23.14,27.25,145.0,2020,1,Friday,False,Winter,Moderate
2020-01-13,Himalayan Drug (ISBT),191.1,104.33,25.07,28.79,248.0,2020,1,Monday,False,Winter,Poor
2020-01-15,Clock Tower,147.5,92.42,24.71,28.62,208.0,2020,1,Wednesday,False,Winter,Poor
2020-01-16,Raipur Road,129.83,80.16,23.99,27.86,167.0,2020,1,Thursday,False,Winter,Moderate
2020-01-17,Himalayan Drug (ISBT),183.3,94.78,23.97,28.28,216.0,2020,1,Friday,False,Winter,Poor
2020-01-20,Raipur Road,125.63,79.51,23.7,28.13,165.0,2020,1,Monday,False,Winter,Moderate
2020-01-21,Himalayan Drug (ISBT),209.3,112.59,25.31,29.59,275.0,2020,1,Tuesday,False,Winter,Poor
2020-01-22,Clock Tower,180.4,104.05,24.24,27.7,247.0,2020,1,Wednesday,False,Winter,Poor
2020-01-23,Raipur Road,129.22,69.03,24.52,27.68,130.0,2020,1,Thursday,False,Winter,Moderate
2020-01-24,Himalayan Drug (ISBT),170.6,103.85,25.7,28.85,246.0,2020,1,Friday,False,Winter,Poor
2020-01-25,Clock Tower,205.0,99.56,25.28,29.67,232.0,2020,1,Saturday,True,Winter,Poor
2020-01-27,Raipur Road,132.28,66.79,23.57,27.72,123.0,2020,1,Monday,False,Winter,Moderate
2020-01-29,Himalayan Drug (ISBT),177.4,98.05,26.18,29.72,227.0,2020,1,Wednesday,False,Winter,Poor
2020-01-30,Clock Tower,177.0,72.11,24.31,28.07,151.0,2020,1,Thursday,False,Winter,Moderate
2020-01-31,Raipur Road,126.24,61.16,24.12,28.05,117.0,2020,1,Friday,False,Winter,Moderate
2020-02-01,Clock Tower,192.8,85.09,25.39,28.67,184.0,2020,2,Saturday,True,Winter,Moderate
2020-02-03,Raipur Road,126.64,74.15,24.2,27.8,147.0,2020,2,Monday,False,Winter,Moderate
2020-02-04,Himalayan Drug (ISBT),210.31,93.53,25.71,29.08,212.0,2020,2,Tuesday,False,Winter,Poor
2020-02-05,Clock Tower,199.0,94.7,24.83,28.81,216.0,2020,2,Wednesday,False,Winter,Poor
2020-02-06,Raipur Road,134.88,79.27,24.7,27.98,164.0,2020,2,Thursday,False,Winter,Moderate
2020-02-07,Himalayan Drug (ISBT),215.9,106.52,25.23,29.05,255.0,2020,2,Friday,False,Winter,Poor
2020-02-10,Clock Tower,206.3,87.4,24.28,28.78,191.0,2020,2,Monday,False,Winter,Moderate
2020-02-11,Raipur Road,131.37,54.97,24.4,28.33,121.0,2020,2,Tuesday,False,Winter,Moderate
2020-02-12,Himalayan Drug (ISBT),212.52,99.36,24.22,29.71,231.0,2020,2,Wednesday,False,Winter,Poor
2020-02-13,Clock Tower,192.9,91.38,24.7,29.61,205.0,2020,2,Thursday,False,Winter,Poor
2020-02-14,Raipur Road,135.78,78.26,23.6,27.72,161.0,2020,2,Friday,False,Winter,Moderate
2020-02-15,Himalayan Drug (ISBT),213.18,103.86,25.1,29.36,246.0,2020,2,Saturday,True,Winter,Poor
2020-02-17,Clock Tower,191.4,93.54,25.03,29.86,212.0,2020,2,Monday,False,Winter,Poor
2020-02-18,Raipur Road,116.58,75.85,24.3,28.2,153.0,2020,2,Tuesday,False,Winter,Moderate
2020-02-19,Himalayan Drug (ISBT),214.1,103.33,26.24,29.94,244.0,2020,2,Wednesday,False,Winter,Poor
2020-02-20,Clock Tower,178.7,85.68,25.09,29.67,186.0,2020,2,Thursday,False,Winter,Moderate
2020-02-22,Raipur Road,130.31,68.77,25.7,29.11,129.0,2020,2,Saturday,True,Winter,Moderate
2020-02-24,Himalayan Drug (ISBT),205.68,99.04,27.14,30.02,230.0,2020,2,Monday,False,Winter,Poor
2020-02-25,Clock Tower,169.0,93.74,25.12,28.79,212.0,2020,2,Tuesday,False,Winter,Poor
2020-02-26,Raipur Road,139.0,70.99,25.0,28.23,137.0,2020,2,Wednesday,False,Winter,Moderate
2020-02-27,Himalayan Drug (ISBT),211.91,102.41,26.2,29.05,241.0,2020,2,Thursday,False,Winter,Poor
2020-02-28,Clock Tower,191.4,96.52,26.55,29.63,222.0,2020,2,Friday,False,Winter,Poor
2020-03-02,Clock Tower,189.47,,25.47,28.65,160.0,2020,3,Monday,False,Summer,Moderate
2020-03-03,Raipur Road,131.44,72.21,24.09,27.35,141.0,2020,3,Tuesday,False,Summer,Moderate
2020-03-04,Himalayan Drug (ISBT),193.83,97.69,25.72,29.16,226.0,2020,3,Wednesday,False,Summer,Poor
2020-03-05,Clock Tower,183.18,,25.24,29.62,155.0,2020,3,Thursday,False,Summer,Moderate
2020-03-11,Raipur Road,114.43,62.48,23.43,26.38,110.0,2020,3,Wednesday,False,Summer,Moderate
2020-03-16,Himalayan Drug (ISBT),211.75,83.96,26.09,29.76,180.0,2020,3,Monday,False,Summer,Moderate
2020-03-17,Clock Tower,171.52,,24.31,28.27,148.0,2020,3,Tuesday,False,Summer,Moderate
2020-03-18,Raipur Road,114.73,66.45,23.83,26.72,122.0,2020,3,Wednesday,False,Summer,Moderate
2020-03-19,Himalayan Drug (ISBT),196.21,101.53,26.12,28.69,238.0,2020,3,Thursday,False,Summer,Poor
2020-03-20,Clock Tower,165.59,,24.73,27.92,144.0,2020,3,Friday,False,Summer,Moderate
2020-03-21,Raipur Road,113.91,71.59,24.89,26.45,139.0,2020,3,Saturday,True,Summer,Moderate
2020-04-06,Clock Tower,76.01,,6.95,8.06,76.0,2020,4,Monday,False,Summer,Satisfactory
2020-04-06,Himalayan Drug (ISBT),67.01,23.44,8.31,11.14,67.0,2020,4,Monday,False,Summer,Satisfactory
2020-04-06,Raipur Road,72.58,33.99,5.74,6.91,73.0,2020,4,Monday,False,Summer,Satisfactory
2020-04-24,Clock Tower,70.93,47.62,7.93,9.82,79.0,2020,4,Friday,False,Summer,Satisfactory
2020-04-24,Raipur Road,80.57,40.21,7.75,8.86,81.0,2020,4,Friday,False,Summer,Satisfactory
2020-04-25,Himalayan Drug (ISBT),91.69,59.53,10.03,12.13,99.0,2020,4,Saturday,True,Summer,Satisfactory
2020-05-05,Clock Tower,99.9,,12.32,16.07,100.0,2020,5,Tuesday,False,Summer,Satisfactory
2020-05-07,Himalayan Drug (ISBT),102.07,71.77,13.74,17.8,139.0,2020,5,Thursday,False,Summer,Moderate
2020-05-09,Raipur Road,83.08,46.3,11.69,15.83,83.0,2020,5,Saturday,True,Summer,Satisfactory
2020-05-11,Clock Tower,114.63,,14.74,18.24,110.0,2020,5,Monday,False,Summer,Moderate
2020-05-13,Raipur Road,84.09,41.76,10.69,14.7,84.0,2020,5,Wednesday,False,Summer,Satisfactory
2020-05-15,Himalayan Drug (ISBT),105.43,74.08,13.97,18.67,147.0,2020,5,Friday,False,Summer,Moderate
2020-05-18,Clock Tower,161.26,,20.89,25.69,141.0,2020,5,Monday,False,Summer,Moderate
2020-05-20,Raipur Road,109.74,45.53,15.68,21.09,106.0,2020,5,Wednesday,False,Summer,Moderate
2020-05-22,Himalayan Drug (ISBT),124.28,80.41,16.11,21.24,168.0,2020,5,Friday,False,Summer,Moderate
2020-05-26,Clock Tower,152.56,,22.68,26.71,135.0,2020,5,Tuesday,False,Summer,Moderate
2020-05-28,Raipur Road,126.59,51.89,18.14,22.4,118.0,2020,5,Thursday,False,Summer,Moderate
2020-05-30,Himalayan Drug (ISBT),110.19,76.19,17.84,21.97,154.0,2020,5,Saturday,True,Summer,Moderate
2020-06-01,Clock Tower,118.65,,18.21,24.7,112.0,2020,6,Monday,False,Monsoon,Moderate
2020-06-02,Raipur Road,87.88,66.74,14.49,21.74,122.0,2020,6,Tuesday,False,Monsoon,Moderate
2020-06-03,Himalayan Drug (ISBT),102.1,74.35,16.9,23.66,148.0,2020,6,Wednesday,False,Monsoon,Moderate
2020-06-04,Clock Tower,118.61,,19.27,25.74,112.0,2020,6,Thursday,False,Monsoon,Moderate
2020-06-08,Clock Tower,115.53,,19.66,24.76,110.0,2020,6,Monday,False,Monsoon,Moderate
2020-06-09,Raipur Road,94.87,73.51,16.43,22.15,145.0,2020,6,Tuesday,False,Monsoon,Moderate
2020-06-10,Himalayan Drug (ISBT),117.6,72.41,18.67,22.2,141.0,2020,6,Wednesday,False,Monsoon,Moderate
2020-06-11,Clock Tower,134.93,,21.19,26.13,123.0,2020,6,Thursday,False,Monsoon,Moderate
2020-06-12,Raipur Road,97.56,61.54,18.26,23.66,105.0,2020,6,Friday,False,Monsoon,Moderate
2020-06-15,Himalayan Drug (ISBT),123.5,79.1,19.72,25.61,164.0,2020,6,Monday,False,Monsoon,Moderate
2020-06-16,Clock Tower,117.82,,21.55,25.13,112.0,2020,6,Tuesday,False,Monsoon,Moderate
2020-06-17,Raipur Road,103.01,62.09,19.0,22.67,107.0,2020,6,Wednesday,False,Monsoon,Moderate
2020-06-18,Himalayan Drug (ISBT),115.8,82.18,20.63,24.69,174.0,2020,6,Thursday,False,Monsoon,Moderate
2020-06-19,Clock Tower,131.18,,22.6,25.7,121.0,2020,6,Friday,False,Monsoon,Moderate
2020-06-22,Himalayan Drug (ISBT),102.6,75.62,21.08,23.34,152.0,2020,6,Monday,False,Monsoon,Moderate
2020-06-23,Clock Tower,131.71,,23.7,24.64,121.0,2020,6,Tuesday,False,Monsoon,Moderate
2020-06-25,Raipur Road,94.97,64.8,17.73,21.58,116.0,2020,6,Thursday,False,Monsoon,Moderate
2020-06-26,Himalayan Drug (ISBT),113.7,69.38,22.12,24.19,131.0,2020,6,Friday,False,Monsoon,Moderate
2020-06-29,Clock Tower,91.12,,21.96,23.22,91.0,2020,6,Monday,False,Monsoon,Satisfactory
2020-06-30,Raipur Road,100.27,58.58,18.17,22.05,100.0,2020,6,Tuesday,False,Monsoon,Satisfactory
2020-07-02,Raipur Road,100.53,,20.87,23.6,100.0,2020,7,Thursday,False,Monsoon,Satisfactory
2020-07-06,Raipur Road,92.61,,19.33,22.05,93.0,2020,7,Monday,False,Monsoon,Satisfactory
2020-07-07,Himalayan Drug (ISBT),114.79,,20.68,25.66,110.0,2020,7,Tuesday,False,Monsoon,Moderate
2020-07-08,Clock Tower,91.55,,19.96,26.16,92.0,2020,7,Wednesday,False,Monsoon,Satisfactory
2020-07-09,Raipur Road,86.31,,18.26,23.13,86.0,2020,7,Thursday,False,Monsoon,Satisfactory
2020-07-13,Clock Tower,94.71,,20.71,24.84,95.0,2020,7,Monday,False,Monsoon,Satisfactory
2020-07-14,Raipur Road,95.15,,16.82,22.75,95.0,2020,7,Tuesday,False,Monsoon,Satisfactory
2020-07-15,Himalayan Drug (ISBT),93.82,,19.85,24.71,94.0,2020,7,Wednesday,False,Monsoon,Satisfactory
2020-07-17,Raipur Road,76.02,,19.33,22.7,76.0,2020,7,Friday,False,Monsoon,Satisfactory
2020-07-20,Clock Tower,66.41,,19.65,25.78,66.0,2020,7,Monday,False,Monsoon,Satisfactory
2020-07-22,Himalayan Drug (ISBT),78.99,,20.75,23.8,79.0,2020,7,Wednesday,False,Monsoon,Satisfactory
2020-07-23,Clock Tower,83.4,,20.62,23.57,83.0,2020,7,Thursday,False,Monsoon,Satisfactory
2020-07-24,Raipur Road,79.68,,20.02,22.33,80.0,2020,7,Friday,False,Monsoon,Satisfactory
2020-07-27,Clock Tower,79.68,,22.07,25.03,80.0,2020,7,Monday,False,Monsoon,Satisfactory
2020-07-30,Clock Tower,72.42,,22.64,24.51,72.0,2020,7,Thursday,False,Monsoon,Satisfactory
2020-07-31,Himalayan Drug (ISBT),87.73,,21.53,24.14,88.0,2020,7,Friday,False,Monsoon,Satisfactory
2020-08-04,Clock Tower,91.71,,22.15,27.2,92.0,2020,8,Tuesday,False,Monsoon,Satisfactory
2020-08-05,Raipur Road,74.4,,23.18,24.03,74.0,2020,8,Wednesday,False,Monsoon,Satisfactory
2020-08-06,Himalayan Drug (ISBT),92.89,,21.74,26.68,93.0,2020,8,Thursday,False,Monsoon,Satisfactory
2020-08-07,Clock Tower,91.17,,22.8,27.67,91.0,2020,8,Friday,False,Monsoon,Satisfactory
2020-08-11,Himalayan Drug (ISBT),89.41,,22.65,26.52,89.0,2020,8,Tuesday,False,Monsoon,Satisfactory
2020-08-14,Himalayan Drug (ISBT),100.22,,21.83,25.57,100.0,2020,8,Friday,False,Monsoon,Satisfactory
2020-08-21,Clock Tower,85.83,,21.53,26.71,86.0,2020,8,Friday,False,Monsoon,Satisfactory
2020-08-22,Raipur Road,78.54,,19.62,22.59,79.0,2020,8,Saturday,True,Monsoon,Satisfactory
2020-08-24,Himalayan Drug (ISBT),99.41,,22.59,26.55,99.0,2020,8,Monday,False,Monsoon,Satisfactory
2020-08-27,Raipur Road,85.06,,21.05,22.96,85.0,2020,8,Thursday,False,Monsoon,Satisfactory
2020-08-28,Himalayan Drug (ISBT),79.29,,21.75,25.59,79.0,2020,8,Friday,False,Monsoon,Satisfactory
